Link Page,Items,Price,Discount,Sale Price
https://www.modanisa.com/en/coral-polo-neck-modest-dress-bwest-8783933.html,Bwest - Coral - Polo neck - Modest Dress - Bwest,$ 129.99,35%,$ 84.49
https://www.modanisa.com/en/light-blue-modest-dress-hafsa-mina-8706455.html,Hafsa mina - Light Blue - Modest Dress - Hafsa Mina,$ 129.99,35%,$ 84.49
https://www.modanisa.com/en/meadow-green-modest-dress-armine-8821261.html,Armine - Meadow Green - Modest Dress - Armine,$ 129.99,35%,$ 84.49
https://www.modanisa.com/en/dark-blue-modest-dress-hafsa-mina-8962789.html,Hafsa mina - Dark Blue - Modest Dress - Hafsa Mina,$ 129.99,35%,$ 84.49
https://www.modanisa.com/en/black-unlined-crew-neck-modest-dress-allday-8779319.html,Allday - Black - Unlined - Crew neck - Modest Dress - ALLDAY,$ 129.99,35%,$ 84.49
https://www.modanisa.com/en/blue-patterned-multi-unlined-crew-neck-plus-size-dress-alia-8593335.html,Alia - Blue Patterned - Multi - Unlined - Crew neck - Plus Size Dress - Alia,$ 79.99,,$ 72.99
https://www.modanisa.com/en/saxe-blue-modest-dress-bwest-8660257.html,Bwest - Saxe Blue - Modest Dress - Bwest,$ 128.99,35%,$ 83.84
https://www.modanisa.com/en/salmon-modest-dress-amine-huma-8709200.html,Amine hÃ¼ma - Salmon - Modest Dress - Amine HÃ¼ma,$ 128.99,35%,$ 83.84
https://www.modanisa.com/en/blue-modest-dress-tofisa-8969605.html,Tofisa - Blue - Modest Dress - Tofisa,$ 128.99,35%,$ 83.84
https://www.modanisa.com/en/saxe-blue-crew-neck-unlined-modest-dress-refka-8567653.html,Refka - Saxe Blue - Crew neck - Unlined - Modest Dress - Refka,$ 29.99,,$ 24.99
https://www.modanisa.com/en/rose-modest-dress-tofisa-8969604.html,Tofisa - Rose - Modest Dress - Tofisa,$ 128.99,35%,$ 83.84
https://www.modanisa.com/en/green-modest-dress-instyle-8432613.html,Instyle - Green - Modest Dress - InStyle,$ 127.99,35%,$ 83.19
